Rank,Player,Club,Nationility,Stat
1,João Cancelo,Manchester City, Portugal,964
2,Virgil van Dijk,Liverpool,England,924
3,Lewis Dunk,Brighton and Hove Albion, England,872
4,Rodri,Manchester City, Spain,855
5,Pierre-Emile Højbjerg,Tottenham Hotspur, Denmark,843
6,Marc Guéhi,Crystal Palace, England,821
7,Joachim Andersen,Crystal Palace, Denmark,815
8,Rúben Dias,Manchester City, Portugal,793
9,Liam Cooper,Leeds United, Scotland,761
10,Çaglar Söyüncü,Leicester City, Turkey,760
