Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham Hotspur,England,15
2,Bruno Fernandes,Manchester United, Portugal,15
3,Kevin De Bruyne,Manchester City, Belgium,13
4,Son Heung-Min,Tottenham Hotspur,South Korea,12
5,Raphinha,Leeds United,Brazil,10
6,Marcus Rashford,Manchester United,England,10
7,Jamie Vardy,Leicester City,England,8
8,Aaron Cresswell,West Ham United,England,7
9,Pascal Groﬂ,Brighton and Hove Albion,Germany,7
10,Timo Werner,Chelsea,Germany,6
