Rank,Player,Club,Nationality,Stat
1,Harry Kane,Tottenham Hotspur, England,137
2,Mohamed Salah,Liverpool, Egypt,126
3,Bruno Fernandes,Manchester United, Portugal,121
4,Patrick Bamford,Leeds United, England,107
5,Ollie Watkins,Aston Villa, England,97
6,Sadio Mané,Liverpool, Senegal,94
7,Roberto Firmino,Liverpool, Brazil,83
7,Dominic Calvert-Lewin,Everton, England,83
9,Mason Mount,Chelsea, England,82
9,Jamie Vardy,Leicester City, England,82
