Rank,Club,Stat
1,Manchester City,"32,135"
2,Liverpool,"31,466"
3,Chelsea,"31,172"
4,Manchester United,"28,040"
5,Leicester City,"26,725"
6,Arsenal,"26,648"
7,Leeds United,"26,217"
8,Tottenham Hotspur,"26,152"
9,Fulham,"25,373"
10,Brighton and Hove Albion,"25,074"
