Rank,Club,Stat
1,Manchester City,83
2,Manchester United,73
3,Leicester City,68
4,Liverpool,68
5,Tottenham Hotspur,68
6,Leeds United,62
7,West Ham United,62
8,Chelsea,58
9,Arsenal,55
10,Aston Villa,55
